Scenario,Year,Crop demand,Energy crop demand,Livestock demand,Energy crop production,Non-energy crop production
SSP2 - 1.9,2100,2903320664,0,226570798.3,10581315270,3183984473
SSP2 - 2.6,2100,3818645969,0,314039959.7,9983781970,4107834920
SSP2 - 3.4,2100,4337699238,0,36.538.769.029.999.900,8598271136,4628869734
SSP2 - 4.5,2100,4687290137,0,401639483.2,6815054091,4979390465
SSP2 - 6.0,2100,5070522839,0,435639160.9,3875204267,5363053826
SSP2 - Baseline,2100,5302376806,0,451089114.2,3580279131,5594997470
SSP3 - 3.4,2100,52539943500,59214813000,473973200,11122271200,7506876700
SSP3 - 4.5,2100,46153333900,51128708300,484256100,9519297300,7575811500
SSP3 - 6.0,2100,40564322800,44021687900,495667000,8013229100,7769912000
SSP3 - Baseline,2100,15809569800,13059988700,502721500,1932907900,7639074400
SSP4 - 2.6,2100,4320295803,23382926660,257851582.8,11875246740,4339484585
SSP4 - 3.4,2100,4520489840,18310555540,273574855.9,10415977160,4656175021
SSP4 - 4.5,2100,4921290329,8938689741,303336930,4582757083,5083913288
SSP4 - 6.0,2100,5086261651,5471607722,314753919.2,1819424521,5152509904
SSP4 - Baseline,2100,0,0,0,1310732448,5314130224
SSP5 - 1.9,2100,0,20914702600,526916100,20914702600,6159845700
SSP5 - 2.6,2100,0,23142312000,530170700,23142312000,6170332500
SSP5 - 3.4,2100,0,19915488200,526742700,19915488200,6163501900
SSP5 - 4.5,2100,0,9364927000,51.919.000.000.000.000,9364927000,6053412500
SSP5 - 6.0,2100,0,1246222200,517856900,1246222200,6174619000
SSP5 - Baseline,2100,0,189018000,516273100,189018000,6197840500
